County	District	SupCon	MPP	SupCon_Text	MPP_Text
Ventura	Oxnard	$12,213,105	10.94%	 Oxnard School District is receiving a projected $12,213,105 in supplemental and concentration grant funding. The district has 89.77% of our enrollment qualified as an unduplicated pupil for purposes of this funding and each site exceeds 40% enrollment of unduplicated students. The OSD administrative team worked collaboratively with parents from DELAC and Foster Youth as well as OEA, CSEA, and OSSA union leaders to write the LCAP to meet the needs of all the children in the district with emphasis for children that are English Learners, low income, Foster Youth, and special education. On a districtwide basis, the plan supports the following: increased school safety and improving school climate Providing students access to STEAM through the implementation of CCSS Increasing parental involvement districtwide Focus on supporting the whole child by increasing support staff (school counselors, outreach specialists, nurses) and resources at sites Increasing student achievement for all children, especially special education students, Foster Youth, low income students, and English Learners, ensuring access to core Supporting basic level of support for facilities, appropriate materials for children, and highly qualified teachers. In order to meet the above needs in our district, the total LCFF supplemental grant funding will be directed toward the sites as well at the district level. In addition, the supplemental grant funding is strategically targeted to support English Learners, Foster Youth, and low income children. These funds will also be used to provide targeted academic intervention for all students that are identified as needing support as well as in the social and emotional areas. D. C	 Oxnard School Districts projected Minimum Proportionality Percentage (MPP) is 10.94% for the budget year. The services described below represent an increase in service to our unduplicated students of 10.94%. In order to support academic success for English Learners, Foster Youth, and low income children, the majority of the LCFF supplemental grant funds will be distributed to sites and a portion will be provided at the district level. The targeted supplemental funds will be provided to these children through academic intervention as needed following a RTI2 model. In addition, it is important that our children's families are also part of the plan, and there are funds to support an increase in parental involvement. Research has shown that having parents actively involved with their child's education does support an increase in a child's social as well as academic achievement. In addition, the supplemental funds will be used to build capacity for parent involvement at the school sites as well as at the district level. The district will support school sites by ensuring that the supplemental funds are also targeted at increasing school attendance and supporting children and families where there is a need. The Outreach Specialists that will be assigned to each of the school sites will support this targeted group of children to ensure that the district is strengthening and supporting student learning and development by having their child at school and on time daily. The LCFF supplemental grant funds greatly support the areas of need for English Learners in the district. The districts EL Master Plan will be re- evaluated and all staff will be provided professional development around the EL Master Plan to ensure that it is being implemented to support the children's needs. In addition, the district is responding to the needs of the community and the stakeholder input by opening five more Dual rd Language Immersion Programs. In addition, a 3 grade newcomer's academy will be opening in fall of 2014 to support the needs of our English Learners. The stakeholders during the LCAP writing committee expressed a need to have a Community Liaison to support the needs of Foster Youth, English Learners and low income children. This will be a new position in the district pending approval of the LCAP. This position will provide great resource support to our families and children in the district. There will be a clearer line of communication from when the families enroll their child at the Enrollment Center to the classroom teacher to ensure that the child will have his or her needs met in a timely manner. The Community Liaison will also increase the district's focus on supporting and increasing parental involvement in schools. N
Ventura	PleasantValley	$717,000	3%	 Goal #1, #2, #3 -We anticipate receiving approximately $717K of supplemental funds so the district will be using the funding to support Low Income, Foster Youth, and English Learners. Best Use: Because our targeted students (Low Income, Foster Youth, and English Learners= 31%) are distributed throughout the district in all schools, we will support these targeted students on a district-wide basis. D. C	 Supplemental funds spent on Low Income, Foster Youth, and English Learners to increase the services by 3%. The services are: Access to technology used for intervention and targeted instruction for Low Income, Foster Youth, and English Learners and support by Teachers on Special Assignment and hourly teachers for instruction, professional development and parent training. N
Ventura	RioElementary	$4,300,000	14%	 Rio School District's increase in funds in the LCAP year calculated on the basis of the number and concentration of low income, foster youth, and English learner pupils 84.34% for unduplicated student population as determined pursuant to 5 CCR 15496(a)(5) is estimated to be $4.3 million. Rio School District is expending these funds to provide zero period for academic supports and increase English learner access to electives, support class size reduction with highest percentage of unduplicated students in kindergarten, provide six weeks of summer programming for migrant, low-income and English learner students and systemize protocols and processes for the use of language proficiency assessments for the purpose of placement into and exit from English Language Development programs and to inform daily instruction. Rio School District is using supplemental and concentration funds in a districtwide manner. These services are the most effective use of funds to meet the district's goals for unduplicated pupils in the state priority areas. B. C	 The services provided in the LCAP year provide for increased or improved services for low income pupils, foster youth and English learners in proportion to the increase in funding provided for such pupils in that year as calculated pursuant to 5 CCR 15496(a)(7). Services for unduplicated pupils must be increased or improved as compared to the services provided to all pupils in the LCAP year by 14% as calculated pursuant to 5 CCR 15496(a). The qualitative description of increased and/or improved services for unduplicated pupils as compared to the services provided to all pupils includes, providing zero period for academic supports and increased electives for English learners, kindergarten class size reduction for the highest percentage of unduplicated students, summer programming for migrant, low-income and English learner students and systemizing protocols and processes around language proficiency. N
Ventura	SantaClaraElementary	$17,027	4.20%	 Santa Clara has 10% unduplicated pupils in the LCFF subgroups. In the school year 2014/15, the Supplemental/concentration funding will be about $17,027. The funds expended from the Supplemental/Concentration funding sources align with the goals of the LCAP. Funds are to assist in the purchase of intervention/acceleration materials and services and to pay for services to promote student and parent engagement. The school will provide access to parents after school hours to use technology. Instructional aides will be used to provide services to unduplicated students. D. C	 Students in the subgroups will increase academic achievement by increasing their time and access to intervention/acceleration materials and services and their parents access to technology. By improving student and parent engagement in school community, students and parents will increase their understanding of what proficient student achievement is and how to obtain proficiency. Services for students within the subgroups will be increased or improved by about 4.20%, compared to all students. The expenditures for the subgroups meet or exceed the 4.20% threshold. N
Ventura	SantaPaulaUnified	$4,800,000	13.07%	 For the 2014-2015 School Year, the Santa Paula Unified School District will receive $4,800,000 in Local Control Funding Formula Funds based on the unduplicated number and concentration of low income, foster youth, and English learner pupils. As indicated on the introduction to the LCAP, the majority of students attending the Santa Paula Unified School District fit in to the subgroups of English Language Learners (42%) and socio-economically disadvantaged (83.4%) students. Although the district serves foster youth, they represent a very small percentage of our total student population. Based on our student composition, the District has chosen to use and allocate the LCAP funding in a District-Wide basis. In meeting both the State and the District goals, we will use a significant amount of funds for professional development. We recognize that universal high expectations for all students require an ongoing effort towards improvement in curriculum, instruction, assessment, and leadership support systems. These improvements require a continued cycle of effective professional development to expand our teachers' knowledge, skills, and instructional practices. The District has chosen a Professional Learning Community Model for teachers and leadership training. The District will also use LCAP funds to extend library hours, provide a multi-tiered system of educational and/or behavioral interventions for all struggling learners and will effectively use data analysis to guide instruction. In an effort to assure that our high school students are prepared for college and career, we will use the new funding to assure better course access for all students, develop a dual enrollment program with Ventura College, increase advanced placement course offerings, increase career and technical educational courses and programs and expand our career pathways at both middle school and high school. Specialized academic strands will be implemented at K-5 to guide children in developing their interests and aptitudes. As the District approaches full implementation of Common Core we will utilize increased funding through LCAP to emphasize a District-wide focus and effort towards supporting high levels of student achievement at every site. Support to Common Core implementation will include additional coaching and intervention personnel in the areas of English Language Arts, Mathematics and English Language Development; purchase additional instructional materials to support our State adoptions; upgrade our technology infrastructure to be able to meet the instructional and assessment requirements of Common Core implementation. As a District in which 94% of our families are of Hispanic origin, we are committed to provide a culturally sensitive and competent learning environment for all our students. Parent engagement and school climate become key components in creating and maintaining a culturally competent educational system. To that extent, the District will implement the PIQE Program at all schools. Through the PIQE Program, the District will reach out to parents as partners in their child's education and will share with parents information and strategies to keep track and support their child's success. To expand our family support services and improve school climate we are committing LCAP funds to hire highly qualified school counselors and bilingual family liaison specialists. It is the District's expectation that these mental health and community outreach professionals will work at each site connecting families to needed services and/or to resources needed by students to ensure their success at school. Finally, the District will commit funding to improving our facilities, adding maintenance and clerical staff to all school sites. It is our goal to have our District offer safe, clean and modern 21st Century facilities and classrooms which will support the academic, emotional, social and physical needs of the whole child. D. C	 In meeting the Minimum Proportionality Percentage (MPP), the Santa Paula Unified will need to spend a minimum of 13.07% of the LCAP new funding in Year 1 to serve our English Language Learners, Foster Youth and Economically Disadvantaged students. The District will accomplish this goal by increasing Reading Intervention Teachers, English Language Development Coaches, School Counselors and Family Liaison Specialists. The increase of these direct services at every school site will exceed the funds that need to be spent in supporting these students. N
Ventura	SimiValleyUnified	$3,668,448	3%	 Simi Valley Unified School District has 5947 unduplicated pupils in the LCFF subgroups. In the school year 2014-2015, supplemental/concentration funding will be about $3,668,448. The funds expended from the supplemental funding sources align with all the goals of the LCAP. Funds will be used for the implementation of a comprehensive intervention program, increased monitoring and counseling of students, implementation of targeted programs for long-term ELs, on-going teacher professional development on ELD Standards and effective instructional strategies, the purchase of ELD materials and resources, the promotion of parent involvement through workshops and information meetings, and increased parental digital access. D. C	 The percent by which the services will be improved or increased for the specified subgroups will be 3% compared to all students. By providing intervention for targeted subgroups, student performance will improve and the achievement gap will be reduced. Materials for ELD will align instruction to the ELD Standards and link instruction to the Common Core. Student and parent workshops will increase awareness of and access to services including A-G coursework and other school-based resources for which subgroup participation is under-representative of the total population. By embedding focus on best practices for our subgroups in all ongoing professional development, teachers and administrators will be better prepared to respond to the needs of said subgroups. N
Ventura	SomisUnion	$122,000	7.65%	 Somis Elementary has over 68% unduplicated pupils in the LCFF subgroups. In School Year 2014/15, Supplemental/Concentration funding will be about $122,000. The funds expended from the Supplemental and Concentration funding sources align with all the goals of the LCAP. Funds are to assist in the purchase of intervention materials, technology, and services, to pay for services and materials required to promote parent and student engagement, and to pay for services to provide counseling for students who require support. D. C	 By increasing time for certificated and qualified personnel to provide intervention or acceleration of targeted subgroups and by improving access to technology and digital resources, students in those subgroups will increase their academic achievement. By focusing expenditures on improving school connectedness for parents and students, students and parents will improve their understanding of what proficient achievement looks like and realize that proficiency is within their reach. Services for students within the subgroups will be increased or improved by about 7.65%, compared to all students. The expenditures specified for the subgroups meet or exceed the7.65% threshold. N
Ventura	VenturaUnified	$5,200,000	4.75%	 Ventura Unified School District did not meet the 55% level of unduplicated students to receive concentration grant funds. VUSD will receive approximately $5.2 million in supplemental Local Control Funding Formula funds in 2014-15. The funds will be used to maintain and increase services and programs for our targeted students and in some cases all students within the District. The following are services to be provided to the unduplicated subgroups: after school computer and library access, supplemental common core materials, tutoring before school, after school and during Saturday school, intervention, increased counselor services targeting unduplicated student subgroups, and computer training for parents of unduplicated student subgroups, Occasionally, on a space available basis, some of the increased services will be implemented district-wide or school-wide at sites with less than 40% unduplicated student counts. At times a district-wide or school-wide implementation would be a more programmatically and/or operationally efficient method to deliver services to unduplicated students. The majority of students served will be targeted students. D. C	 Our minimum proportionality percentage is 4.75%. Ventura Unified will meet the MPP by providing the following increased services to our unduplicated students: Increased Services for Unduplicated Students After school computer lab and library access Staff training specifically focused on addressing the needs of unduplicated students Provide online vocabulary development resources Provide supplemental Common Core State Standards library and classroom materials for English Learner instruction Implement tutoring before school, after school, and during Saturday school Extend Library hours at all middle and high schools Increased student monitoring and timely intervention for unduplicated students Offer additional periods at secondary schools to increase academic opportunities. The periods will be used to th decrease class sizes, to offer 9 grade intervention courses, and to add zero period classes to allow students in intervention courses to participate in electives and athletics. Increased teacher collaboration time for schools with high numbers of Unduplicated students Increase counselors to provide additional access to unduplicated students th Develop and offer 9 grade English Language Arts courses. Increase AVID sections th th Explore options for 6 grade and 9 grade academies for unduplicated students Provide online bilingual Credit Recovery Programs for unduplicated students Increase after school activities for unduplicated students Develop multi lingual pathway recognition and awards Offer PIQE for the families of unduplicated students Offer computer instruction focused on district systems for parents of unduplicated students Implement the Latino Family Literacy Project at the K-5 level Provide support groups for caregivers Expand the Family Community Partnership Program N
Yolo	DavisJointUnified	$2,303,304	4.61%	 The Davis Joint Unified School District estimated Supplemental Grant funding was $2,303,304, calculated on the basis of the district's number and concentration of low income, foster youth and English learner pupils. Davis Joint Unified School District has a 27% enrollment of unduplicated pupils who are low income, foster youth and English learner pupils. The DJUSD supplemental funds will be used in a districtwide manner to fund three educational initiatives. 1. Supplemental funding will be used to lower class size in every kindergarten through third grade class. Our community believes this is the best way to address the needs of all students, and particularly important in meeting the needs of low income, foster youth and English learner, and redesignated fluent English proficient (RFEP) pupils who are enrolled in K-3 grade classes throughout the district. 2. Supplemental funding will be used to provide increased reading support by paraeducators in all third grade classes. Attention will be focused on strengthening the reading skills of struggling readers, students who most frequently are low income pupils, foster youth and/or English learners. 3. Through direction affirmed in the DJUSD strategic planning process, the Davis school district will be implementing local policy to provide technological devices to all students to use as educational tools. To ensure that those devises can be effectively used by low income, foster youth, English learner, and redesignated fluent English proficient (RFEP) pupils who may not have access to the internet, the district's technology infrastructure is being updated. Wireless access will be available for all students, but most importantly for students whose families do not have the resources to independently provide wireless access. D. C	 In 2014-15 the percentage by which services for unduplicated pupils must be increased or improved as compared to the services provided to all pupils is 4.61%. This district is qualitatively meeting the proportionality percentage by providing the following additional services to low income, foster youth and/or English learner pupils above those services provided to all pupils. The supplemental services include: 1. A reading intervention program at each junior high school 2. English Language Arts support classes at the comprehensive high school 3. An AVID program at the comprehensive high school and the three junior high feeder schools 4. An after-school family resource center and tutoring program for homeless students and their families at a district elementary school 5. Elementary school English learner support staff, including EL Specialist, EL paraeducators and other staff as determined by sites 6. Supplemental ELD materials 7. Long term English Learner (LTEL) instructors and instructional materials at the comprehensive high school and the three junior high feeder schools 8. Provision of summer reading materials for elementary LTEL students 9. Extended day tutoring and mentoring support at the comprehensive high school, and at the junior high school and elementary school with the highest grade span concentration of low income English learners 10. Leadership training for English learner parents 11. Professional growth in the areas of restorative practices and culturally responsive environments 12. Costs associated with increasing the inclusion in decision making of parents whose children are low income, foster youth and/or English learner pupils N
Yolo	EspartoUnified	$978,245	16.35%	 The Esparto Unified School District estimates that Supplemental/Concentration funding for 2014-2015 will be $978,245 which represents an increase of $840,991over prior years funding for these students. The district has developed goals and strategies to utilize these increased dollars. These dollars are being spent on increased during the school day interventions, extended day interventions, staff development, academic monitoring, readiness for the Common Core State Standards, implementation of Common Core lessons across the curriculum, and increased inquiry-based learning experiences. Students identified as English Learners and/or socio-economically disadvantaged students constitute the vast majority of all students in the district. The Esparto Unified School District serves a high percentage of unduplicated pupils, approximately 70%. Therefore, the activities, services, and expenditures included in this LCAP support district-wide and school-wide implementation of funds. D. C	 The percentage by which services for unduplicated pupils must be increased or improved as compared to all pupils in the LCAP year is calculated as 16.35%. The Esparto Unified School District LCAP exceeds the proportionality requirement of the District, which is 4.45% This is accomplished by the expenditures designated for targeted reading intervention, extended-day tutoring, professional development for ELD, instructional materials services, financial support for parent involvement, and translation services. N
Yolo	WashingtonUnified	$4,400,812	9.06%	 The Washington Unified School District uses the LCCF Calculator Tool 2014 2015 Budget Version issued by the Fiscal Crisis Management and Assistance Team (FCMAT) to assist school districts in determining funding attributable to the supplemental and concentration grant calculation. Estimated additional Supplemental and Concentration grant funding is $2,885,582 for total estimated Supplemental and Concentration grant funding of $4,400,812. The details of the expenditures are identified in section 3.b and include English Learner Intervention Specialists, a Coordinator of English Language Learner Services, an increase in staff hours for current Home School Liaisons, the addition of a Home School Liaison, a Coordinator of Community Outreach Services, and increase in staff hours for current Outreach Specialists, the addition of an Outreach Specialist, the addition of an Outreach Specialist Â_ Foster Youth, staff release time for Foster Youth support, and the addition of a Career Specialist for Yolo Continuation High. Other actions and services include increased ELD training, intervention programs, bilingual program support, cultural competency training, ELD and intervention summer school, and support materials and supplies. In addition, funds are allocated to schools based on their unduplicated student counts to support their site level actions and services based on identified needs. While some funds are targeted to specific populations, some services are established as schoolwide or districtwide to support all learners who will benefit, but with a particular emphasis on the needs of the targeted groups. The district percentage of unduplicated pupils is 69.4% and the percentage at individual schools ranges from 47.3% to 100%. C. C	 The Washington Unified School District's estimated Minimum Proportional Percentage is calculated at 9.06 %. The percentage was calculated using the LCFF Calculator Tool 2014 2015 Budget Version issued by FCMAT. The Washington Unified School District has demonstrated that it has met the proportionality percentage by documenting an increase and/or improvement in services focused specifically on English learners, Foster Youth, and economically disadvantaged students which are over and above the services provided for all students. In addition to training, intervention programs, and support, staffing to provide services to this population is projected to be increased by 70% over the prior year services for these targeted groups. N
Yolo	WintersJointUnified	$1,096,445	11.07%	 For the 2014-2015 LCAP year, Winters Joint Unified School District is receiving approximately $1,096,445 in Supplemental and Concentration funds. This represents an approximate increase of $1.2 M increase in comparison to the 2013-2014 funding level. The increased funds have been allocated to school sites as well as in support of districtwide goals. Winters Joint Unified School District has an unduplicated count of 70% currently. All additional dollars beyond the base amount will be targeted for low income, foster youth, and English learners. While our English Learners are often in pull out, or separate programs or classrooms, our low income students are not. For this reason what we do for "all students" impacts our low income students. Therefore, our LCAP resources are spread schoolwide and districtwide as our demographic is similar across schools and throughout the District. The exception to this is that Developmental Bilingual Education is offered at Winters Elementary. DBE is offered K-6. At the middle school and high school levels we have separate English Language Development classes offered for those students still acquiring fluency in the English language. The offering of a Developmental Bilingual Education program requires a commitment to additional staffing as well as budgets for additional instructional materials and supplies over and above the Williams requirement, due to having instructional materials in both English and Spanish for all subject areas. We also created a Director of Instruction with a focus on EL to support not only the successful implementation of DBE but also English Language Development classes across the District. To ensure a high quality teaching staff, we have set aside resources for training, the continuation of an induction program for new teachers, and unallocated dollars for increased compensation to teachers. Additionally, we have set aside dollars for anticipated increases to STRS and PERS contributions. D. C	 Our minimal proportionality percentage (MPP) for each of the three LCAP years is 11.07%, 14.53% and 15.22%. In our annual budgets for the three years we have surpassed this proportionality with increased or improved services for low income, Foster Youth and ELs. These subgroups get the benefits of these proportional dollars and also the benefits of funds and resources allocated to "all students" due to our size and our homogeneous population across our District. A significant percentage of our budget is allocated to supporting our EL populations in addition to our Special Education population. Additionally, we have added before and after school program budgets, Summer School budget, and some support staff budgets to address the needs of our unduplicated populations. Support staff include counselors, nurses, and library staff. The district will further improve services to our English Learners through a focused implementation of a soon-to-be adopted EL Master Plan, the creation of an oversight position or Director of Educational Programs with an EL emphasis, as well as added budgets for materials and supplies specific to ELD and the continued implementation of a new and very popular Developmental Bilingual Education program. Engagement of our parents of unduplicated students through programs like School2Home with its 80% parent participation rate will be critical. While our Foster Youth students do not meet the threshold of a significant subgroup, we will always endeavor to provide them the support that they need to be successful. Counselors, nurses, administration and teachers play a key role in this regard. We also partner with RISE and other agencies to support our Foster Youth. N